q,prime,exponent,t,B,P,Q,E_over_Q,S_over_Q,M_over_Q,actual_reserve_over_Q,normalized_U
107507,107507,1,11.585311240708952,0.012863438993710598,0.03332797893853142,4.674915698940986,0.010957206874930124,0.6765982908993134,0.3305798405959313,1.0101751214284083,0.9999803795585082
107563,107563,1,11.585832001403288,0.012811947544030255,0.03337947038821176,4.679134855382697,0.03178084465792496,0.6766097127980396,0.35139627736607487,1.0315607943842076,0.999972397086881
107641,107641,1,11.58655689502437,0.012681734370775188,0.03350968356146683,4.689102448142825,0.036542991329456855,0.6766256031141062,0.3561516873371671,1.0370093727691712,0.9999608788728902
107699,107699,1,11.587095578050306,0.012572783243402746,0.03361863468883927,4.697351842893492,0.035089032239485625,0.6766374089758799,0.35469337325481004,1.036988107488123,0.999930094670473
107761,107761,1,11.587671090922406,0.012473487154003565,0.03371793077823845,4.70496078036783,0.02775717328432146,0.676650023286584,0.34735587113613964,1.0320560384660025,0.9998584600295629
107827,107827,1,11.5882833699181,0.01236544298427003,0.03382597494797199,4.713214438425533,0.037826182960913814,0.6766634420931072,0.3574189795703739,1.0446964082742647,0.9997539566431192
107881,107881,1,11.588784046769474,0.012274423860911682,0.033916994071330336,4.720142224802051,0.01813618493662565,0.6766744138621071,0.33772427876384054,1.0271360936278249,0.9996456747254431
107951,107951,1,11.589432699447986,0.012175841628729825,0.03401557630351219,4.727763680023291,0.015511746499688856,0.676688629769766,0.3350926507193742,1.027392871910901,0.9994677488666671
108013,108013,1,11.590006869232795,0.01207867112987246,0.03411274680236956,4.735191395383923,0.009139516589715117,0.6767012110184109,0.3287145758970947,1.0225074659652014,0.9993620662920597
108079,108079,1,11.590617720185652,0.012002500452705789,0.03418891747953623,4.741199145424197,0.012893985140760959,0.6767145984844787,0.3324613152154553,1.0276432619413645,0.9992552714784108
108139,108139,1,11.591172715621186,0.011922164399339769,0.03426925353290225,4.747424979186567,0.005334316958558573,0.6767267594500638,0.3248952145041643,1.0214929212610881,0.9991377951854769
108211,108211,1,11.591838303813079,0.011830914160977979,0.03436050377126404,4.754532539439447,-0.0018794459541392038,0.6767413431884592,0.31767343805518483,1.0156179954672564,0.9990183470311984
108271,108271,1,11.592392622431127,0.011795196777895027,0.03439622115434699,4.757662357261337,-0.00867993887058534,0.6767534930953033,0.3108640822945819,1.009504702775216,0.9989540365256905
108343,108343,1,11.593057399432167,0.011758116170655197,0.03443330176158682,4.761017387812116,-0.0007836169666868827,0.6767680636657247,0.3187494602139257,1.0184552993833023,0.9988512569866195
108401,108401,1,11.593592593037384,0.011710089626086106,0.03448132830615591,4.764974054275706,-0.0009624063313965583,0.6767797907651351,0.3185628334302888,1.018461006406476,0.9988331363378764
108463,108463,1,11.594164379979329,0.011646226457326374,0.034545191474915644,4.770066527488598,-0.005589420954726914,0.6767923171663547,0.3139281102191897,1.0136275804933086,0.9988544042411741
108529,108529,1,11.594772697355411,0.011578179086857696,0.03461323884538432,4.775488547665565,0.000620636475724681,0.6768056428068646,0.32012995936589433,1.0187170186764205,0.9989642753858083
108587,108587,1,11.595306973976017,0.011541750412738402,0.034649667519503616,4.778639149440413,-0.0053289374924471705,0.676817348644495,0.31417192312554754,1.0113555432443195,0.9990945174353135
108649,108649,1,11.595877781776597,0.011468746050748616,0.0347226718814934,4.784353394427374,0.00654532890551565,0.6768298495825004,0.32603895438816205,1.0212487947921216,0.9992625517100446
108727,108727,1,11.596595432329993,0.011339371831406403,0.034852046100835615,4.794118373262433,0.02908232238530575,0.6768455602840985,0.3485688150740258,1.0412099511049326,0.9994553822997465
108791,108791,1,11.597183889394207,0.011212572254316822,0.0349788456779252,4.803538243302888,0.03449887030096295,0.6768584389374849,0.35398056851424736,1.044926596105483,0.9995668107923231
108863,108863,1,11.59784548994027,0.011085469252033658,0.03510594868020836,4.813053810540777,0.03711609124219928,0.6768729191631728,0.35659154468289994,1.04635677654828,0.9996372166191425
108917,108917,1,11.59834140325744,0.011005900855250356,0.03518551707699166,4.819102681829362,0.013919291317407418,0.6768837742364481,0.3333892214483318,1.0219087579522093,0.9997044972874927
108971,108971,1,11.598837070766487,0.010974303763418673,0.035217114168823345,4.821863522473112,-0.015982968798594177,0.6768946293644608,0.3034789412986985,0.9902378623482427,0.9997876317076476
109037,109037,1,11.599442553152604,0.010976449152189477,0.03521496878005254,4.822446584072313,-0.0018553627346479821,0.6769078936966935,0.3175946361557661,1.0025518439905237,0.9998585970088425
109103,109103,1,11.600047669151632,0.010950401780335451,0.03524101615190657,4.824959657600095,0.004549556681935192,0.6769211453296036,0.32398911229032407,1.0075723988894618,0.9999031384277934
109171,109171,1,11.60067073925801,0.010943300838680656,0.03524811709356136,4.826197468402686,-0.016883723356229226,0.6769347915634111,0.30254405735274054,0.984739445344913,0.9999396084327302
109229,109229,1,11.601201874801632,0.010960239268271173,0.035231178663970845,4.825678446280995,-0.009481308496318747,0.6769464263384191,0.30993524566316494,0.9920105079071169,0.9999425977377194
109303,109303,1,11.601879121180454,0.010947803096105404,0.03524361483613661,4.827347359364689,-5.878284903886377e-05,0.676961256197315,0.31934521761482143,1.002036909974426,0.9999283447971422
109363,109363,1,11.60242790335515,0.010934338409719883,0.03525707952252213,4.828931895065057,0.0011507544665732429,0.676973271631084,0.3205447572319405,1.0032823107164794,0.9999274984365353
109433,109433,1,11.603067768822418,0.010937935584695552,0.035253482347546466,4.8294580504659,-0.006012212426864239,0.6769872826758092,0.3133691367277237,0.9962577372274194,0.9999240134041727
109507,109507,1,11.603743753136092,0.01096297799878685,0.03522843993345517,4.828558369184107,-0.011616097764176115,0.6770020860372861,0.3077507872812043,0.9917344758528266,0.9998936517794705
109561,331,2,11.604236750754126,0.010988527697575926,0.03520289023466609,4.827402004237013,-0.020504154246623635,0.6770128822737136,0.3006673845698789,0.9855846823149385,0.9998636843703491
109621,109621,1,11.604784240981413,0.011042262605083841,0.03514915532715818,4.824376485486604,-0.03956167441637235,0.6770248742672965,0.27978083940278026,0.965016335452574,0.9998529236498926
109673,109673,1,11.605258490171767,0.011102965049591046,0.03508845288265097,4.820780332347076,-0.035438661993247134,0.6770352631245394,0.2838914665460763,0.9684868036412675,0.9998753106069369
109751,109751,1,11.605969442513219,0.011150894024029669,0.03504052390821235,4.818343043430739,-0.014426834264360474,0.6770508304501109,0.3048869581819641,0.9882584997312117,0.9999128455973296
109819,109819,1,11.606588834981899,0.011144072705405544,0.035047345226836474,4.819558276730216,-0.00042709312042019516,0.6770643855407634,0.3188749923807925,1.0017734121444155,0.9999257531548024
109883,109883,1,11.607171442348335,0.011175927634864052,0.035015490297377966,4.818069199017006,-0.02566686340639002,0.6770771394804669,0.29362222141320155,0.97643556414611,0.9999282250726865
109943,109943,1,11.607717328653775,0.011251578185429573,0.034939839746812446,4.813518503402905,-0.03981753811519794,0.6770890945063525,0.2794569779152777,0.9630960364730357,0.999906419320349
110017,110017,1,11.60839017828818,0.011323405688367094,0.034868012243874924,4.8093771489625645,-0.015632760967582288,0.6771038261296088,0.30362490546754367,0.9876270507327769,0.9998962050967092
110083,110083,1,11.608989905702794,0.011361120249111886,0.03483029768313013,4.807496167387474,-0.025310598182828718,0.6771169523224193,0.2939334217818139,0.9780539207132476,0.9998930185025326
110129,110129,1,11.609407684939793,0.011379418378065251,0.03481199955417677,4.806735196864536,-0.011421217159183945,0.6771260945941789,0.3078137136698451,0.9923344847782284,0.9998807387768683
110221,110221,1,11.610242720159633,0.011325578700190242,0.034865839232051776,4.811455169757382,0.023378434982624707,0.6771443546449706,0.34259993169845776,1.0281402284653836,0.9998462637271357
110273,110273,1,11.610714388331683,0.011260940012291776,0.03493047791995024,4.816481128199117,0.011901199715556024,0.6771546635507356,0.33111688834158465,1.0170671817613168,0.9998312832724173
110339,110339,1,11.611312723888851,0.011205548219880582,0.034985869712361437,4.821019695923784,0.00905150363796378,0.6771677434016823,0.3282584272828299,1.0147619609579448,0.9998099317182517
110419,110419,1,11.612037499466652,0.011085710660923842,0.035105707271318176,4.830144629736073,0.043306127362595336,0.6771835791816194,0.3625051493486154,1.0501148959318138,0.9997629518609145
110477,110477,1,11.61256263347843,0.010957062270245538,0.03523435566199648,4.839622263077505,0.04174314254512104,0.6771950466809282,0.3609385657320591,1.0499783528220967,0.9996940689561201
110533,110533,1,11.613069397889076,0.010843649285859042,0.03534776864638298,4.848019215949284,0.03170039287257797,0.6772061136560433,0.3508917566134192,1.0414050402860247,0.9996138734444875
110597,110597,1,11.613648242928528,0.010746293659183614,0.035445124273058404,4.855393570742597,0.004724503430938818,0.6772187579604481,0.32390955604254906,1.0162452614780948,0.9995017236776836
110651,110651,1,11.614136382944006,0.010716773522041591,0.03547464441020043,4.858007884756352,-0.013965133077773558,0.6772294268448368,0.30521191202908526,0.9993430563194818,0.9993771405860922
110731,110731,1,11.614859115627624,0.010654896867953179,0.03553652106428884,4.863121509499649,0.004983078710976439,0.6772452194592405,0.32414918351245486,1.0200765946083963,0.9992390366350459
110807,110807,1,11.615545228195051,0.0105656522076846,0.03562576572455742,4.8700595618069995,0.014454216132386486,0.6772602066066276,0.33361146387336604,1.0311063146868762,0.9991073524294221
110863,110863,1,11.616050483765866,0.010493838687501894,0.035697579244740124,4.8755814559507185,0.011633448046961129,0.6772712415513874,0.33078446658801747,1.029789726806524,0.9989701954610101
110927,110927,1,11.616627606285155,0.01040488504321313,0.03578653288902889,4.882356803473777,-0.007796703655444306,0.6772838443155396,0.31134753038518487,1.0119566361239594,0.9988139264873935
110989,110989,1,11.617186376284732,0.010388783279559596,0.03580263465268242,4.884137320725741,-0.02095594601014121,0.6772960542971549,0.29817820593278566,1.0000777949521487,0.9986804133298792
111053,111053,1,11.61776284381585,0.010352042586154034,0.035839375346087984,4.887347078109727,-0.018548035914878264,0.6773086474951903,0.30057671842473005,1.003710917744003,0.998546128647721
111121,111121,1,11.61837497666779,0.010297950058447032,0.035893467873794986,4.891782548167535,-0.013807291625214733,0.677322016854847,0.30530823002075264,1.0097880846769027,0.9983923185728291
111191,111191,1,11.619004722271386,0.010251225480854928,0.03594019245138709,4.895736234667068,-0.006803371405749818,0.6773357708948206,0.3123022009261304,1.0170749002648316,0.9983591723810569
111253,111253,1,11.619562165957037,0.010192904312332704,0.035998513619909314,4.900389792702722,-0.004517025017146981,0.6773479427093081,0.3145805751798806,1.0194476761586135,0.9983493816845045
111323,111323,1,11.62019116461195,0.01012768949588945,0.03606372843635257,4.905597970296506,-0.004134069750616726,0.6773616759321855,0.3149544952854404,1.0195986745040855,0.9983777148611845
111373,111373,1,11.620640207260585,0.010080273155669645,0.036111144776572374,4.9093729878199435,-0.001056232677054881,0.677371479285692,0.31802591781645634,1.0217312146931918,0.9984886194377957
111443,111443,1,11.621268528407207,0.009967978560668889,0.03622343937157313,4.917772929698073,0.008302762168562806,0.6773851897883794,0.32737818032737626,1.0289434402457123,0.9987257820519363
111521,111521,1,11.621968192955583,0.009843483473935682,0.036347934458306336,4.927078425987089,0.007558165426005787,0.6774004558023473,0.3266260252466425,1.0268536517830569,0.9988644318446336
