family,label,last_prime,prime_count,log_n,bridge_log_n_minus_pk,max_exponent,j1_count,beta_error_E,beta_required_eta,true_deficit_A,rosser_eta_half,rosser_eta_one,mvdc_requirement_margin,rosser_half_margin,rosser_one_margin,sigma_over_n_over_egamma_log_pk,robin_margin
primorial,pk=1000003,1000003,78499,998497.9905391902,-1505.009460809757,1,78499,3.972120678508162e-05,3.972120678508162e-05,0.4977002346960508,0.0026161805785329104,0.0052255346118378985,0.4976605134892657,0.4950840541175179,0.4924747000842129,0.6079512911354535,9.644236623621637
all_j2,pk=1000003,1000003,78499,1996995.9810783805,996992.9810783805,2,0,3.972120678508162e-05,3.972120678508162e-05,0.18403417539131908,0.0026161805785329104,0.0052255346118378985,0.183994454184534,0.18141799481278617,0.1788086407794812,0.8319404176019128,5.3672091563548605
floor_log_lcm,pk=1999993,1999993,148933,2000115.046207051,122.0462070510257,20,148710,4.994729682339383e-05,4.994729682339383e-05,9.635149909683572e-05,0.0023724685581123866,0.004739321828631184,4.640420227344189e-05,-0.002276117059015551,-0.004642970329534348,0.9999535968743849,0.0013077851241121152
primorial,pk=1999993,1999993,148933,1998587.7221372908,-1405.2778627092484,1,148933,4.994729682339383e-05,4.994729682339383e-05,0.49770027012015,0.0023724685581123866,0.004739321828631184,0.4976503228233266,0.4953278015620376,0.4929609482915188,0.6079574865955366,10.129504535742132
all_j2,pk=1999993,1999993,148933,3997175.4442745815,1997182.4442745815,2,0,4.994729682339383e-05,4.994729682339383e-05,0.18403417539131908,0.0023724685581123866,0.004739321828631184,0.1839842280944957,0.1816617068332067,0.1792948535626879,0.8319489251430291,5.575895186280814
ca_like,eps=0.001,181,42,192.3184147975403,11.3184147975403,9,35,0.01822172732684213,0.01822172732684213,0.018019079199661874,0.018332741627881226,0.03633543544419182,-0.00020264812718025563,-0.0003136624282193516,-0.018316356244529947,1.0002026686616992,0.10615513110039743
ca_like,eps=0.0005,337,68,345.9464702784527,8.946470278452693,10,59,0.008638265432628245,0.008638265432628245,0.011317049645741862,0.014652978731027652,0.029094344702076478,0.002678784213113617,-0.00333592908528579,-0.017777295056334616,0.9973248005276865,0.07439718548764951
ca_like,eps=0.0002,751,133,764.5046602274183,13.504660227418299,11,122,0.006010177802896477,0.006010177802896477,0.008186709650321443,0.011339786649320923,0.02255242304687447,0.002176531847424966,-0.00315307699899948,-0.014365713396553029,0.9978258350804737,0.05738347681378997
ca_like,eps=0.0001,1381,221,1398.1358097892119,17.135809789211862,12,206,0.0033852104769158675,0.0033852104769158675,0.004853384622915941,0.009518253234934576,0.018946762856511316,0.0014681741460000732,-0.004664868612018635,-0.014093378233595376,0.9985329030944048,0.040857529238676804
ca_like,eps=5e-05,2549,373,2568.676960710915,19.676960710914955,13,354,0.002224799495487151,0.002224799495487151,0.0034271268166228388,0.0080946135875775,0.016124230179538932,0.001202327321135688,-0.0046674867709546606,-0.012697103362916094,0.998798395184766,0.030482296874792425
ca_like,eps=2e-05,5749,757,5805.92533787919,56.92533787919001,15,730,0.0017024777119707402,0.0017024777119707402,0.001890158350122061,0.006649857266981409,0.013255785890689755,0.00018768063815132081,-0.004759698916859348,-0.011365627540567694,0.9998123369727578,0.02044250298589745
ca_like,eps=1e-05,10753,1311,10833.8728607513,80.87286075130032,16,1277,0.001285610004888138,0.001285610004888138,0.0013371385764206468,0.005785514644742758,0.011537749557861033,5.152857153250872e-05,-0.0044483760683221105,-0.010200610981440386,0.9999484727560415,0.014197179138712102
ca_like,eps=5e-06,20173,2282,20243.781557505,70.78155750500082,17,2238,0.0006738254632785434,0.0006738254632785434,0.0009256199945012035,0.005076166767966776,0.010126696151742224,0.0002517945312226601,-0.004150546773465573,-0.009201076157241021,0.9997482371663599,0.010683023101279332
ca_like,eps=2e-06,46511,4808,46589.609920312265,78.60992031226488,18,4746,0.00034999484013065185,0.00034999484013065185,0.0005486882168572428,0.0043193792114554624,0.008620181597732927,0.0001986933767265909,-0.00377069099459822,-0.008071493380875684,0.9998013263614951,0.006810719867111459
ca_like,eps=1e-06,87833,8529,87995.49273415799,162.49273415798962,19,8450,0.0003033931804115042,0.0003033931804115042,0.0003877181764088573,0.003851281606568344,0.007687787729479161,8.43249959973531e-05,-0.003463563430159487,-0.007300069553070303,0.9999156785592552,0.005001531323550523
