last_prime,cutoff_y,alpha,block_prime_count,beta_error_e_x,beta_error_e_y,q_exact,partial_order,partial_value,remainder_bound,q_upper,q_upper_margin,max_abs_u,scaled_q,scaled_q_upper,induction_f_gap,induction_c_step_max,induction_margin_c_130,induction_margin_c_135,induction_margin_c_140,induction_margin_c_145
12253883,10408553,0.99,113678,1.708325438176672e-05,1.108067104382826e-05,6.002583376990556e-06,8,6.002585697427971e-06,7.444541298220646e-71,6.002585697427971e-06,2.3204374153827146e-12,7.663315537698168e-09,0.3429503378524334,0.3429504704278173,1.6800888849689152e-06,,,,,
12253883,11293589,0.995,58961,1.708325438176672e-05,1.889286116796285e-05,-1.809606781167164e-06,8,-1.8096004346642474e-06,4.756853321534771e-74,-1.8096004346642474e-06,6.3465029166452554e-12,3.5300353751210878e-09,-0.10338969373757853,-0.10338933113781394,8.205688098405939e-07,2.205300046702708,0.9053000467027081,0.8553000467027081,0.8053000467027083,0.7553000467027082
29093377,5393,0.5,1804378,9.018002268490477e-06,0.0008514780565302971,-0.0008424600540452021,8,-0.0008424599495490861,2.260273612933691e-33,-0.0008424599495490861,1.0449611597025676e-10,0.00018486956927765696,-78.09472966816034,-78.0947199815338,0.0015739128521080777,0.5352646739117141,-0.764735326088286,-0.814735326088286,-0.8647353260882858,-0.9147353260882859
29093377,30071,0.6,1801838,9.018002268490477e-06,0.0003640073514930009,-0.00035498934901501134,8,-0.0003549894989081671,1.834067805984946e-39,-0.0003549894989081671,-1.4989315577597015e-10,3.295231368438678e-05,-32.90695756230606,-32.90697145716722,0.000548469997515291,0.6472359482129563,-0.6527640517870438,-0.7027640517870438,-0.7527640517870436,-0.8027640517870437
29093377,167747,0.7,1789770,9.018002268490477e-06,0.00016397810840107496,-0.00015496010591525833,8,-0.00015496030108908814,1.2841221844474013e-45,-0.00015496030108908814,-1.9517382981591898e-10,5.761680943239256e-06,-14.364559509610038,-14.364577601918873,0.00019216713389117745,0.806382954001077,-0.4936170459989231,-0.5436170459989231,-0.593617045998923,-0.643617045998923
29093377,935461,0.8,1731219,9.018002268490477e-06,9.558577584867223e-05,-8.65677733310477e-05,8,-8.656772436755816e-05,4.5567499317758124e-52,-8.656772436755816e-05,4.89634895399927e-11,9.400658487201952e-07,-8.024697223092334,-8.024692684253418,6.441314329914454e-05,1.3439450387559002,0.04394503875590017,-0.006054961244099877,-0.0560549612440997,-0.10605496124409974
29093377,5216921,0.9,1442570,9.018002268490477e-06,3.212930832852123e-05,-2.3111305822651196e-05,8,-2.3111399158209242e-05,1.2200690483591862e-59,-2.3111399158209242e-05,-9.333555804592279e-11,1.186468077118974e-07,-2.1423819109662916,-2.142390563026575,1.751810645757521e-05,1.3192863745964603,0.01928637459646021,-0.030713625403539835,-0.08071362540353966,-0.1307136254035397
29093377,8736263,0.93,1219085,9.018002268490477e-06,2.5537542495790433e-05,-1.651953997219846e-05,8,-1.6519596063294353e-05,1.4592325608530893e-62,-1.6519596063294353e-05,-5.609109589288768e-11,5.4935483051465894e-08,-1.5313355240722053,-1.5313407236290857,1.0380293098568167e-05,1.591438305877223,0.29143830587722297,0.24143830587722293,0.1914383058772231,0.14143830587722306
29093377,12319799,0.95,997412,9.018002268490477e-06,2.1231809665511747e-05,-1.2213807218268424e-05,8,-1.22137464686646e-05,6.097196454939783e-65,-1.22137464686646e-05,6.074960382356225e-11,2.974344859296707e-08,-1.132200830590978,-1.1321951991976968,6.662486638201807e-06,1.8332114016758567,0.5332114016758567,0.48321140167585663,0.4332114016758568,0.38321140167585677
29093377,17373143,0.97,691384,9.018002268490477e-06,1.3962488786489757e-05,-4.9444863154390895e-06,8,-4.944499632823259e-06,4.6216908743074735e-68,-4.944499632823259e-06,-1.3317384169172705e-11,1.3503950402338205e-08,-0.4583461498239959,-0.45834738432468425,3.6040893457360434e-06,1.371913723135926,0.07191372313592592,0.021913723135925878,-0.028086276864073945,-0.07808627686407399
29093377,20630893,0.98,497034,9.018002268490477e-06,1.2006208573112076e-05,-2.988206326094006e-06,8,-2.988250454436962e-06,2.988009442827805e-70,-2.988250454436962e-06,-4.412834295600186e-11,7.824244141474423e-09,-0.2770020538166394,-0.27700614444502863,2.2842575983320395e-06,1.3081932863521946,0.008193286352194518,-0.04180671364780553,-0.09180671364780535,-0.1418067136478054
29093377,22482067,0.985,387507,9.018002268490477e-06,7.481233131212406e-06,1.5367690600932848e-06,8,1.5367437258379485e-06,1.0688267898809485e-71,1.5367437258379485e-06,-2.5334255336383735e-11,5.477188702585067e-09,0.142456088848503,0.1424537404026481,1.6709638001852967e-06,,,,,
29093377,24499441,0.99,268551,9.018002268490477e-06,1.1390652043363758e-05,-2.3726498087281445e-06,8,-2.3726183763564625e-06,1.1827430159658135e-73,-2.3726183763564625e-06,3.1432371681962355e-11,3.3929097309481904e-09,-0.21994092719308328,-0.21993801346137867,1.0867234071951335e-06,2.183277143611237,0.883277143611237,0.833277143611237,0.7832771436112371,0.7332771436112371
29093377,26697773,0.995,139691,9.018002268490477e-06,1.0634515159146929e-05,-1.6165128938110465e-06,8,-1.6165009293200505e-06,7.675372593600705e-77,-1.6165009293200505e-06,1.1964490995977541e-11,1.573090768758334e-09,-0.14984821753993313,-0.1498471084503265,5.301850066373868e-07,3.0489374634949558,1.7489374634949557,1.6989374634949557,1.6489374634949558,1.5989374634949558
56048351,7481,0.5,3340066,5.2226264402044364e-06,0.0006999243131180499,-0.0006947016864844446,8,-0.0006947018801486028,1.5835535389078797e-34,-0.0006947018801486028,-1.9366415816932797e-10,0.00013337511011846104,-92.79330030554168,-92.79332617381972,0.0012886459199837584,0.5390944629362258,-0.7609055370637743,-0.8109055370637743,-0.8609055370637742,-0.9109055370637742
56048351,44579,0.6,3336379,5.2226264402044364e-06,0.00048427365782366394,-0.0004790510311973861,8,-0.0004790506964665204,7.584994056274707e-41,-0.0004790506964665204,3.3473086574666716e-10,2.2275453329667627e-05,-63.98822266364805,-63.98817795268456,0.00043494636589491963,1.101401768194693,-0.198598231805307,-0.24859823180530705,-0.29859823180530687,-0.3485982318053069
56048351,265451,0.7,3317747,5.2226264402044364e-06,0.00011720111153534774,-0.00011197848488203599,8,-0.00011197828089316821,3.324314593181584e-47,-0.00011197828089316821,2.03988867776019e-10,3.6595681636164556e-06,-14.957287966294567,-14.95726071891539,0.00014792156732766097,0.7570111844821464,-0.5429888155178536,-0.5929888155178537,-0.6429888155178535,-0.6929888155178535
56048351,1580699,0.8,3221204,5.2226264402044364e-06,5.365750943253644e-05,-4.843488283354236e-05,8,-4.843517736850159e-05,7.530084503857504e-54,-4.843517736850159e-05,-2.94534959233996e-10,5.633552777606354e-07,-6.469586464919656,-6.46962580680043,4.8238267115281874e-05,1.0040820341400145,-0.29591796585998553,-0.3459179658599856,-0.3959179658599854,-0.44591796585998544
56048351,9412523,0.9,2712841,5.2226264402044364e-06,2.062965125926297e-05,-1.5407024611113762e-05,8,-1.5407150601313643e-05,1.3441350440114611e-61,-1.5407150601313643e-05,-1.2599019988098273e-10,6.740337887833903e-08,-2.0579605453224463,-2.057977374195444,1.2812123015388198e-05,1.2025446979246646,-0.09745530207533548,-0.14745530207533553,-0.19745530207533535,-0.2474553020753354
56048351,16075439,0.93,2305357,5.2226264402044364e-06,1.2612547441115396e-05,-7.3899207774924536e-06,8,-7.389774168212838e-06,1.4314756196660138e-64,-7.389774168212838e-06,1.4660927961594446e-10,3.072738574694256e-08,-0.9870929512352262,-0.9870733682125048,7.5448287240904044e-06,0.9794488965160358,-0.3205511034839642,-0.37055110348396425,-0.4205511034839641,-0.4705511034839641
56048351,22968593,0.95,1894635,5.2226264402044364e-06,1.0739793224967542e-05,-5.517166911842009e-06,8,-5.517095627716226e-06,5.517332969746886e-67,-5.517095627716226e-06,7.12841257825123e-11,1.6464741570132446e-08,-0.7369438365366872,-0.7369343149111903,4.823855734672774e-06,1.1437107432671756,-0.15628925673282446,-0.2062892567328245,-0.2562892567328243,-0.30628925673282437
56048351,32817493,0.97,1319903,5.2226264402044364e-06,1.2262028525000801e-05,-7.0394020788115685e-06,8,-7.039431902863368e-06,3.8194091557532824e-70,-7.039431902863368e-06,-2.982405179921901e-11,7.394511669644999e-09,-0.9402731615295172,-0.9402771452138076,2.599909452789706e-06,2.7075681021544997,1.4075681021544997,1.3575681021544996,1.3075681021544998,1.2575681021544998
56048351,39227569,0.98,951583,5.2226264402044364e-06,8.55263865950917e-06,-3.330012118531178e-06,8,-3.330003548132065e-06,2.3744605580744136e-72,-3.330003548132065e-06,8.57039911299006e-12,4.261603514521539e-09,-0.4447992865825232,-0.4447981418096889,1.6449345220402059e-06,2.0243988459807354,0.7243988459807353,0.6743988459807353,0.6243988459807355,0.5743988459807354
56048351,42887851,0.985,742805,5.2226264402044364e-06,8.179150132292534e-06,-2.9565234889797343e-06,8,-2.9565914015767784e-06,8.197319320439343e-74,-2.9565914015767784e-06,-6.791259704416565e-11,2.969887225034995e-09,-0.39491133721240407,-0.39492040849312016,1.2022496422429354e-06,2.459215871390002,1.1592158713900018,1.1092158713900018,1.059215871390002,1.009215871390002
56048351,46889653,0.99,515587,5.2226264402044364e-06,1.0133416773694393e-05,-4.910790111065447e-06,8,-4.9107704296228545e-06,8.928972304781219e-76,-4.9107704296228545e-06,1.9681442592215173e-11,1.833610374646355e-09,-0.6559483449933785,-0.6559457160865421,7.812403676961762e-07,6.285863650523304,4.985863650523304,4.935863650523304,4.885863650523303,4.8358636505233035
56048351,51264887,0.995,268641,5.2226264402044364e-06,7.536421936293891e-06,-2.3137953964027028e-06,8,-2.313779523474425e-06,5.753217746299713e-79,-2.313779523474425e-06,1.5872928277783796e-11,8.476206403429387e-10,-0.30906029917747063,-0.3090581789848339,3.808289175111306e-07,6.075640312704981,4.775640312704981,4.72564031270498,4.6756403127049815,4.625640312704981
